"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-c202402a2cff4a0494ca502ad7fd57ba","AccessRelationship","modification","","id-736322","id-736172",""
"id-da2709a8a25e4486b99cc37d6b6ca07d","AccessRelationship","modification","","id-718749","id-469451",""
"id-a2718190aebc42089ef82c181ce516c3","AccessRelationship","modification","","id-718731","id-469165",""
"id-cc1ddbc7797340bcbc017f4b12c4d152","AccessRelationship","modification","","id-718768","id-469427",""
"id-6282d74935524887817c87ee3381d494","AccessRelationship","modification","","id-736500","id-736079",""
"id-19e030f1388a4124a391f52063179822","AccessRelationship","modification","","id-718742","id-723109",""
"id-e49a9055d6974fb999f136ecee49c48c","AccessRelationship","modification","","id-736557","id-736176",""
"id-e3724470472c4dafa15de15bd1e55613","AggregationRelationship","","","id-b7e50220855c4223b7af84a5a0e78e1a","id-91bf847e403945859162d47ea5d7490f",""
"id-36e9c514687e4837b415a858faf9bed5","AggregationRelationship","","","id-737000","id-718832",""
"id-27ad8a3ca06547c7b6c82cc65fffc855","AggregationRelationship","","","id-658375e1e23644f589ccaa437fa7e45f","id-d78e8cc1492d47c2851e1a2407e9959f",""
"id-e062f0201ae1408a9fde4a0768bd5f29","AggregationRelationship","","","id-737009","id-718170",""
"id-bc90f74ce5454cd69821a1e69e6ed0b2","AggregationRelationship","","","id-b7e50220855c4223b7af84a5a0e78e1a","id-df9fefba488846358a0b0593b99c6284",""
"id-e323f5c7b1e2404da2c1789f36692b3c","AggregationRelationship","","","id-729690","id-736011",""
"id-5cd13076fa97447db3ce1c45a6e00e66","AggregationRelationship","","","id-658375e1e23644f589ccaa437fa7e45f","id-0ecbd9d1faaa47a49a508613dea2efd0",""
"id-b9772092a4ca458a8a8bf1c1e64b2034","AggregationRelationship","","","id-b7e50220855c4223b7af84a5a0e78e1a","id-3716424db89446b59aaef8164198f9f6",""
"id-8ddb94cbdc104fa888ec77077c7d75b1","AggregationRelationship","","","id-738789","id-729578",""
"id-526eb0622cc44ce2aba7bd1493c2e12b","AggregationRelationship","","","id-737000","id-736543",""
"id-51a14c5c56f34c1185b2dbc157ed2591","AggregationRelationship","","","id-b7e50220855c4223b7af84a5a0e78e1a","id-afa6bf1f62714f499a365d33d9c4eb15",""
"id-b46838dd9bdb423a921e09e3721f273a","AggregationRelationship","","","id-b7e50220855c4223b7af84a5a0e78e1a","id-24459716ccb14af5bff12769ebcb5476",""
"id-5dc52c8bdcea4a6b967a512c2049cc28","AggregationRelationship","","","id-737000","id-736356",""
"id-4749e0e66b0d4594b822963f4fd1d323","AggregationRelationship","","","id-729690","id-736114",""
"id-6ffeccfd89a44d14bff7b425031d6bcd","AggregationRelationship","","","id-729690","id-736162",""
"id-6b8672283ee04e2c8b6e1f760ad9a53a","AggregationRelationship","","","id-729690","id-736051",""
"id-524bc010c73b49ffb22a2e69e4eef083","AggregationRelationship","","","id-658375e1e23644f589ccaa437fa7e45f","id-988752337f59432bb5552965cb7a96cc",""
"id-c23d6501623746eabbb832f9ec2887ed","AggregationRelationship","","","id-737000","id-718836",""
"id-d99da8cc1f584203aa1a275769d12bfe","AggregationRelationship","","","id-737009","id-718171",""
"id-eb751df522df42799e07c37153dfacbd","AggregationRelationship","","","id-737009","id-718167",""
"id-72ceb9d921594a35ab27550b10ce976e","AggregationRelationship","","","id-b7e50220855c4223b7af84a5a0e78e1a","id-1c1d6f6d910a432f94a16f80147f0e4b",""
"id-02c10cd598fa45fe904f33db48200b01","AggregationRelationship","","","id-737000","id-718824",""
"id-951af3203dc5414f9ea78d9d7a60e825","AggregationRelationship","","","id-729690","id-736094",""
